idS,idP,title
s372,p372,Expanding the far UV range of aluminum-coated mirrors for space-based observations to reflect hydrogen Lyman lines via fluoride multilayers
s373,p373,Crackle-related beamforming of military jet aircraft noise
s374,p374,Coherence analysis of the noise from a simulated highly-heated laboratory-scale jet
s375,p375,The fog of warnings: How non-essential notifications blur with security warnings
s376,p376,Testing and analysis of masonry hollow clay block prisms filled with mortar
s377,p377,A robust ensemble feature selector based on rank aggregation for developing new VO2max prediction models using support vector machines
s378,p378,Optofluidic platform with integrated optical waveguides and sample preparation for digitized detection of nucleic acid targets
s379,p379,Data-driven dynamic equivalents for power system areas from boundary measurements
s380,p380,Regular 2D and 3D linkage-based origami tessellations
s381,p381,Rigidly foldable thick origami using designed-offset linkages
s382,p382,"Compositional MRI of the Hip: Reproducibility, Effect of Joint Unloading, and Comparison of T2 Relaxometry with Delayed Gadolinium-Enhanced Magnetic Resonance Imaging of Cartilage"
s383,p383,Developable mechanisms on developable surfaces
s384,p384,Review of surface water interactions with metal oxide nanoparticles
s385,p385,Microcontroller compiler-assisted software fault tolerance
s386,p386,Selective hardening for neural networks in FPGAs
s387,p387,Adhesion testing of printed inks while varying the surface treatment of polymer substrates
s388,p388,High-acquisition-rate single-shot pump-probe measurement using chirped-fiber Bragg gratings
s389,p389,Numerical analyses of mortar incorporating the variation in Poisson’s ratio with increasing axial load
s390,p390,A design approach to fully compliant multistable mechanisms employing a single bistable mechanism
s391,p391,When official systems overload: A framework for finding social media calls for help during evacuations
s392,p392,Orthogonal liquid-jet impingement on wettability-patterned impermeable substrates
s393,p393,Folding approaches for tensioned precision planar shell structures
s394,p394,"Mexico City Basin Effects: Past, Present, and Future"
s395,p395,Requirements for software to support the use of social media in emergency management: A Delphi study
s396,p396,Preface
s397,p397,The winds and currents mission concept
s398,p398,Locally correlated slw model for prediction of gas radiation in non-uniform media
s399,p399,Accuracy of engineering methods for radiative transfer in CO2-H2O mixtures at high temperature
s400,p400,Assessment of engineering gas radiative property models in high pressure turbulent jet diffusion flames
s401,p401,"Creating open source models, test cases, and data for oilfield drilling challenges"
s402,p402,Traverses for the ISECG-GER design reference mission for humans on the lunar surface
s403,p403,Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies
s404,p404,Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC
s405,p405,Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation
s406,p406,Influence of Communication Irregularities and Co-simulation on Hybrid Power System State Estimation
s407,p407,Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection
s408,p408,Evaluating Safety Impacts of Access Management Alternatives with the Surrogate Safety Assessment Model
s409,p409,Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design
s410,p410,Influence of microstructure geometry on pool boiling at superhydrophobic surfaces
s411,p411,Feasibility of induced pluripotent stem cell therapies for treatment of type 1 diabetes
s412,p412,A model for multi-input mechanical advantage in origami-based mechanisms
s413,p413,Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms
s414,p414,Spectrum allocations: The aeronautical telemetry story in the USA
s415,p415,Submerged hydraulic jump remediation at low-head dams: Partial width deflector design
s416,p416,Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom
s417,p417,Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique
s418,p418,"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy"
s419,p419,A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier
s420,p420,Exploration and evaluation of CAD modeling in virtual reality
s421,p421,An optical method for the measurement of combustion gas temperature in particle laden flows
s422,p422,Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces
s423,p423,Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields
s424,p424,Error correction in structured optical receivers
s425,p425,Column axial load effects on the performance of skewed SMF RBS connections
s426,p426,Tutorial on interpreting x-ray photoelectron spectroscopy survey spectra: Questions and answers on spectra from the atomic layer deposition of Al2O3 on silicon
s427,p427,FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI
s428,p428,Controlling normal stiffness in droplet-based linear bearings
s429,p429,Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs
s430,p430,"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding"
s431,p431,Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles
s432,p432,Flexural strength and stiffness of block-out connections for steel columns
s433,p433,CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening
s434,p434,"Active Topology Inference in Store, Code, and Forward Networks"
s435,p435,On peak-to-average power ratio optimization for coded APSK
s436,p436,Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression
s437,p437,Erratum: Hardware and software improvements to a low-cost horizontal parallax holographic video monitor (Applied Optics (2018) 57 (A122-A133) DOI: 10 1364/AO 57 00A122)
s438,p438,Identification and Prioritization of Critical Subject Matter within Mechanical Systems Curriculum in Construction Management Education
s439,p439,The emerging impact of cell-free chemical biosynthesis
s440,p440,Efficiency of Generalized Regular k-point grids
s441,p441,Rapid Operational Access and Maneuver Support platform for military logistics and operation planning in water environments
s442,p442,Lead sulfide quantum dots inside ferritin: synthesis and application to photovoltaics
s443,p443,A pseudo-static model for dynamic analysis on frequency domain of distributed compliant mechanisms
s444,p444,Corrigendum: Efficient decellularization of whole porcine kidneys improves reseeded cell behavior (Biomedical Materials (Bristol) (2016) 11 (025003) DOI: 10 1088/1748-6041/11/2/025003)
s445,p445,Effect of strain path on forming limits and retained austenite transformation in Q&P 1180 steel
s446,p446,Deployable lenticular stiffeners for origami-inspired mechanisms
s447,p447,Engineering attitudes: an investigation of the effect of literature on student attitudes toward engineering
s448,p448,Total hemispherical apparent radiative properties of the infinite V-groove with specular reflection
s449,p449,Synthesis of high-specific volume carbon nanotube structures for gas-phase applications
s450,p450,Natural frequencies of piled raft foundation including superstructure effect
s451,p451,Biomechanical modeling of prosthetic mesh and human tissue surrogate interaction
s452,p452,Autonomous target following with monocular camera on UAS using Recursive-RANSAC tracker
s453,p453,Learned Search Parameters for Cooperating Vehicles using Gaussian Process Regressions
s454,p454,Zipper Tube Reinforcement to Mitigate Flexible Shaft Buckling
s455,p455,Modified Material Properties in Curved Panels Through Lamina Emergent Torsional Joints
s456,p456,An Origami-based Thickness-Accommodating Bistable Mechanism in Monolithic Thick-sheet Materials
s457,p457,Implementation of Rolling Contacts for SORCE Joints
s458,p458,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries
s459,p459,Buried Rib SiO2 Multimode Interference Waveguides for Optofluidic Multiplexing
s460,p460,Improved Track Continuity in Multi Target Tracking by Fusing Multiple Input Sources
s461,p461,Visual Multiple Target Tracking from a Descending Aerial Platform
s462,p462,A Class of Logistic Functions for Approximating State-Inclusive Koopman Operators
s463,p463,Extending Motion Detection to Track Stopped Objects in Visual Multi-Target Tracking
s464,p464,Movie recommendations using the deep learning approach
s465,p465,A graduate school recommendation system using the multi-class support vector machine and KNN approaches
s466,p466,Relative Navigation: A Keyframe-Based Approach for Observable GPS-Degraded Navigation
s467,p467,One-dimensional turbulence modeling for cylindrical and spherical flows: model formulation and application
s468,p468,Developable compliant-aided rolling-contact mechanisms
s469,p469,A Rateless Approach to Physical-Layer Security
s470,p470,Nested QPSK Encoding for Information Theoretic Security
s471,p471,A Tale of Two Studies: The Best and Worst of YubiKey Usability
s472,p472,Radiative properties of gases
s473,p473,The Future of R&D Leadership: Wider changes in the culture and the market will drive changes in the practice of R&D leadership 
s474,p474,Mining social media divides: an analysis of K-12 U S  School uses of Twitter
s475,p475,Design and characterization of a package-less hybrid PDMS-CMOS-FR4 contact-imaging system for microfluidic integration
s476,p476,Secure Array Synthesis in Multipath Channels
s477,p477,Comparison of calibrated empirical and semi-empirical methods for bedload transport rate prediction in gravel bed streams
s478,p478,A Multimodal Exploration of Engineering Students' Emotions and Electrodermal Activity in Design Activities
s479,p479,Kinetostatic modeling of complex compliant mechanisms with serial-parallel substructures: A semi-analytical matrix displacement method
s480,p480,Solar system science with the Wide-Field Infrared Survey Telescope
s481,p481,"3D printed microfluidic features using dose control in X, Y, and Z dimensions"
s482,p482,A cognitive approach to predicting academic success in computing
s483,p483,Increasing student construction interest by engaging elementary students in an inquiry-based 3D modelling after school program
s484,p484,Outreach potential of displaying research artifacts in art museums
s485,p485,Intensive mentoring and micro-electronics research for students in engineering (IMMERSE)
s486,p486,Transitioning a manufacturing systems engineering course to student-centered learning
s487,p487,Assessment of a global engineering outreach course
s488,p488,Understanding engineering and technology student perceptions: Barriers to study abroad participation
s489,p489,Designing a sustainable large-scale project-based learning (PBL) experience for juniors in electrical and computer engineering
s490,p490,Investigating influences on first-year engineering students' views of ethics and social responsibility
s491,p491,A longitudinal study of social and ethical responsibility among undergraduate engineering students: Comparing baseline and midpoint survey results
s492,p492,Lowman's model goes back to the movies
s493,p493,Crafting the future of computing education in CC2020: A workshop
s494,p494,Preface
s495,p495,Crystallographic Reconstruction of Parent Austenite Twin Boundaries in a Lath Martensitic Steel
s496,p496,Bézier B̄ projection
s497,p497,Relative visual-inertial odometry for fixed-wing aircraft in GPS-denied environments
s498,p498,Direct Measurement of High-Gain and Complementary Charge-Steering Amplifiers
s499,p499,Twining and dynamic recrystallization in austenitic Alloy 718 during friction welding
s500,p500,Bubble nucleation in superhydrophobic microchannels due to subcritical heating
s501,p501,Measuring User Perceptions of Popular Transportation Project Delivery Methods Using Least Significant Difference Intervals and Multiple Range Tests
s502,p502,Optimized ARROW-Based MMI Waveguides for High Fidelity Excitation Patterns for Optofluidic Multiplexing
s503,p503,Membrane-Enhanced Lamina Emergent Torsional Joints for Surrogate Folds
s504,p504,High-Strength Concrete Masonry Walls under Concentric and Eccentric Loadings
s505,p505,Inverse piezoresistive nanocomposite sensors for identifying human sitting posture
s506,p506,Shaping and Forming of Advanced High Strength Steels
s507,p507,Volumetric displays
s508,p508,Systems analysis of EV adoption and criteria pollutant accumulation during inversion events
s509,p509,ENIGMA military brain injury: A coordinated meta-analysis of diffusion MRI from multiple cohorts
s510,p510,"Midtarsal locking, the windlass mechanism, and running strike pattern: A kinematic and kinetic assessment"
s511,p511,Noise reduction techniques in fiber optic sensors
s512,p512,Fabrication of High Aspect Ratio Millimeter-Tall Free-Standing Carbon Nanotube-Based Microelectrode Arrays
s513,p513,A bi-directional interface for improved interaction with engineering models in virtual reality design reviews
s514,p514,Non-dimensional modeling of the effects of weld parameters on peak temperature and cooling rate in friction stir welding
s515,p515,Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry
s516,p516,Estimated Time of Restoration (ETR) Guidance for Electric Distribution Networks
s517,p517,Effect of environmental and material factors on the response of nanocomposite foam impact sensors
s518,p518,Low Temperature Oxidative Dehydrogenation of Ethane by Ce-Modified NiNb Catalysts
s519,p519,Evans function computation for the stability of travelling waves
s520,p520,Scalable fabric tactile sensor arrays for soft bodies
s521,p521,Effectiveness of an Immersive Virtual Environment for Collaboration with Gesture Support Using Low-Cost Hardware
s522,p522,Antireflective light-blocking layers using a liquid top matte coating
s523,p523,Vertical electrical impedance testing of a concrete bridge deck using a rolling probe
s524,p524,Rigidly foldable quadrilateral meshes from angle arrays
s525,p525,Toward a Universal Social Impact Metric for Engineered Products That Alleviate Poverty
s526,p526,Dual-wavelength reflectance spectroscopy of the superior vena cava: A method for placing central venous catheters at the cavoatrial junction
s527,p527,Investigating the safety impact of roadway network features of suburban arterials in Shanghai
s528,p528,Information geometry for model identification and parameter estimation in renewable energy - DFIG plant case
s529,p529,Predicting the maximum endurance time for left-side bridge exercise using machine learning methods and hybrid data
s530,p530,CrsRecs: A personalized course recommendation system for college students
s531,p531,Using tripartite graphs to make long tail recommendations
s532,p532,Texture mediated grain boundary network design in three dimensions
s533,p533,Lab-scale observations of flame attachment on slopes with implications for firefighter safety zones
s534,p534,Swarm Transparency
s535,p535,"Geotechnical extreme-event reconnaissance (GEER) investigation to the 2016 Mw 6 0, Mw 6 2 and Mw 7 0 Kumamoto Japan Earthquakes"
s536,p536,"3D printed high density, reversible, chip-to-chip microfluidic interconnects"
s537,p537,The Locational Impact of Site-Specific PEGylation: Streamlined Screening with Cell-Free Protein Expression and Coarse-Grain Simulation
s538,p538,Architecture exploration for HLS-oriented FPGA debug overlays
s539,p539,Computational Modeling of Wound Suture: A Review
s540,p540,A dual sensor selective for Hg2+ and cysteine detection
s541,p541,Hybrid power system state estimation with irregular sampling
s542,p542,On the well-posedness of LTI networks
s543,p543,Necessary and sufficient conditions for identifiability of interconnected subsystems
s544,p544,Local control and estimation performance in dynamical networks: Structural and graph-theoretic results
s545,p545,A comparative analysis of computer-aided design team performance with collaboration software
s546,p546,Materials selection of flexible open-cell foams in energy absorption applications
s547,p547,"Grain structure evolution, grain boundary sliding and material flow resistance in friction welding of Alloy 718"
s548,p548,Hybrid state transactional database for product lifecycle management features in a multi-engineer synchronous heterogeneous CAD environment
s549,p549,Moment method analysis of a reconfigurable OTA reverberation chamber
s550,p550,Rapid visualization of compressor blade finite element models using surrogate modeling
s551,p551,Development of a vortex particle code for the modeling of wake interaction in distributed propulsion
s552,p552,Evaluation of curve fitting techniques for estimating time of surcharge release in embankment construction over soft soils
s553,p553,Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft
s554,p554,Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization
s555,p555,Mixing plane simulation of a high-performance fan using kestrel
s556,p556,Practical Superdirectivity with Resonant Screened Apertures Motivated by a Poynting Streamlines Analysis
s557,p557,The secure socket API: TLS as an operating system service
s558,p558,3D printed microfluidic selectable ratio mixer pump in 2 mm3
s559,p559,Sediment management in U S  reservoirs: Challenges and progress [Gestion des sédiments dans les retenues américaines: Défis et progrès]
s560,p560,Thermal diffusivity measurements with fluorescent scanning microscope
s561,p561,Open source computational photonics toolbox
s562,p562,Progress on photophoretic trap displays
s563,p563,Demonstration of interference pattern structured illumination imaging
s564,p564,Using instagram to increase student engagement with design history
s565,p565,Increasing the educational impact following a field study programme
s566,p566,Information reduction and studio project frameworks
s567,p567,GEESE: Grammatical evolution algorithm for evolution of swarm behaviors
s568,p568,Modeling and using secondary taste terms
s569,p569,"Exploration of three dimensional, hierarchical, large scale UAV system interactions"
s570,p570,High Accuracy Achieved in Determining Lengths and Locations of Horizontal Curves Using Light Detection and Ranging Point Cloud Data
s571,p571,Hardware and software improvements to a low-cost horizontal parallax holographic video monitor
s572,p572,"A review of friction stir welding of steels: Tool, material flow, microstructure, and properties"
s573,p573,Solid state crack repair by friction stir processing in 304L stainless steel
s574,p574,On the performance of filter based equalizers for 16apsk in aeronautical telemetry environment
s575,p575,Physical-layer security for aeronautical telemetry
s576,p576,Femtosats: Elegant flight telemetry payloads for model rockets
s577,p577,Byu mars rover at the 2018 university rover challenge
s578,p578,Eliminating wiring in aircraft instrumentation through energy harvesting
s579,p579,Adaptive net radiative heat transfer and thermal management with origami-structured surfaces
s580,p580,Three approaches for managing stiffness in origami-inspired mechanisms
s581,p581,Origami-based design of conceal-and-reveal systems
s582,p582,Automating the design of thick-origami mechanisms
s583,p583,Retractable anti-buckling support systems for flexible medical devices
s584,p584,"Social impact in product design, an exploration of current industry practices"
s585,p585,Over-design versus redesign as a response to future requirements
s586,p586,Design and modeling of a prosthetic venous valve
s587,p587,Patterned carbon nanotube growth on stainless steel
s588,p588,Dynamic SEU Sensitivity of Designs on Two 28-nm SRAM-Based FPGA Architectures
s589,p589,Total hemispherical apparent radiative properties of the infinite V-Groove with diffuse reflection
s590,p590,Architectures for Earth-observing CubeSat scatterometers
s591,p591,Volumetric display by movement of particles trapped in a laser via photophoresis
s592,p592,When does a human replan? Exploring intent-based replanning in multi-objective path planning
s593,p593,A compact low-cost direction finding system for unmanned aerial vehicles
s594,p594,Evaluation and optimization of dynamic cone penetration test (DPT) for assessment of liquefaction in gravelly soils
s595,p595,Radial variation in distortion transfer and generation through a highly loaded fan stage
s596,p596,Universal airfoil parametrization using B-splines
s597,p597,Analysis of distortion transfer and generation through a compressor using the harmonic balance approach
s598,p598,A Review of Thickness-Accommodation Techniques in Origami-Inspired Engineering
s599,p599,"Closure to ""discussion of 'a review of thickness-accommodation techniques in origami-inspired engineering'"" (Lang, R  J , Tolman, K  A , Crampton, E  B , Magleby, S  P , and Howell, L  L , 2018, ASME Appl  Mech  Rev , 70(1), p  010805)"
s600,p600,Cylindrical cross-axis flexural pivots
s601,p601,Strut-and-tie models for masonry walls with openings
s602,p602,Finite element model of dry-stack masonry shear walls
s603,p603,An investigation of self-efficacy and topic emotions in entry-level engineering design learning activities
s604,p604,Pull-out strength of fiberglass/epoxy composite rebar manufactured using a three-dimensional braiding process
s605,p605,Collaboration task-technology fit for student distributed engineering design teams
s606,p606,Comparing in Situ Soil Water Characteristic Curves to Those Generated in the Lab
s607,p607,High fidelity MMI excitation patterns for optofluidic multiplexing
s608,p608,3D hydrodynamic focusing for optofluidics using a stacked channel design
s609,p609,Lateral resistance of piles within corrugated metal sleeves
s610,p610,Analysis of post-liquefaction axial capacities of driven pile and drilled shaft foundations
s611,p611,Gravelly Soil Liquefaction after the 2016 Ecuador Earthquake
s612,p612,Evaluation of Dynamic Cone Penetration Test for Liquefaction Assessment of Gravels from Case Histories in Idaho
s613,p613,Optimization of Grid Spacing Pattern for the Development of Reference Parameter Maps for Liquefaction-Induced Free-Field Settlement
s614,p614,Integrating community-level data resources for precision medicine research
s615,p615,Initial Comparisons of Friction Stir Spot Welding and Self Piercing Riveting of Ultra-Thin Steel Sheet
s616,p616,Benefits of two turbine rotor diameters and hub heights in the same wind farm
s617,p617,Profile-based team organization in multi-university capstone engineering design teams
s618,p618,Unification of signal models for soqpsk
s619,p619,Cfo estimation by exploiting channel sparsity in aeronautical telemetry
s620,p620,Time reversal techniques
s621,p621,Simplified modeling for soot formation from solid fuels
s622,p622,Targeted 3D modeling from UAV imagery
s623,p623,Spatiotemporal correlation analysis of jet noise from a round-nozzle supersonic aircraft
s624,p624,Dependence of high-performance military aircraft noise on frequency and engine power
s625,p625,Inclusion of broadband shock-associated noise in spectral decomposition of noise from highperformance military aircraft
s626,p626,Comparison of noise from high-performance military aircraft for ground run-up and flyover operations
s627,p627,Large-scale multidisciplinary optimization of an electric aircraft for on-demand mobility
s628,p628,Guest Editorial Special Issue on Marine and Maritime Radar Remote Sensing
s629,p629,New flow assurance system with high speed subsea fiber optic monitoring of pressure and temperature
s630,p630,Information design in crowdfunding under thresholding policies
s631,p631,Environmental and track factors that contribute to abrasion damage
s632,p632,"Blast-Induced Liquefaction Results at the Silty-Sand Site of Mirabello, Emilia Romagna Region, Italy"
s633,p633,"Simplified Evaluation of the Seismic Failure of an Old Wharf during the 2014 Mw 8 2 Pisagua, Chile, Earthquake"
s634,p634,Folding approaches for tensioned precision planar shell structures
s635,p635,A modeling framework for assessing cyber disruptions and attacks to the national airspace system
s636,p636,Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project
s637,p637,Local texture evolution and mechanical performance of ultra-high-speed friction stir weld of AA 6111-T4 sheets
s638,p638,"High-Speed Friction Stir Welding of AA7075-T6 Sheet: Microstructure, Mechanical Properties, Micro-texture, and Thermal History"
s639,p639,Commissioning observations with the focal L-band Array on the Green Bank Telescope (FLAG)
s640,p640,Effect of nozzle–plate distance on acoustic phenomena from supersonic impinging jet
s641,p641,Progress in transparent flat-panel holographic displays enabled by guided-wave acousto-optics
s642,p642,A graph-theoretic understanding of network-wide implications of local cyber protections for mission assurance
s643,p643,"Factor analysis in automated face detection: Gender, occlusion, eyewear, brightness, contrast, and focus measure"
s644,p644,Numerical analyses of mortar incorporating the variation in poisson's ratio with increasing axial load
s645,p645,In-situ measurements of strain in soft body armor with FBG sensors during ballistic impacts
s646,p646,Application of “CODeve” methodology in transatlantic student design project
s647,p647,Development and testing of a friction-based post-installable fiber-optic monitoring system for subsea applications
s648,p648,Fixing the O&M Budget with Asset Management to Create More Capital Debt Capacity for Pipe Projects
s649,p649,From lignocellulose to biocomposite: Multi-level modelling and experimental investigation of the thermal properties of kenaf fiber reinforced composites based on constituent materials
s650,p650,Improving full-scale models of new carbon capture technologies with uncertainty quantification
s651,p651,Ground-based sense-and-avoid system for small unmanned aircraft
s652,p652,Defining a Sustainable Underground Infrastructure Framework: ISO Asset Management and ISO Life Cycle
s653,p653,How Green Are You? Economic and Environmental Sustainability: Assessing the Global Warming Potential (GMP) of Your Underground Infrastructure
s654,p654,Lateral Resistance of Abutment Piles Near Mechanically Stabilized Earth Walls
s655,p655,Benchmarking your break rates: A review of new findings and trends from north American water main break studies
s656,p656,Human factors in mission control centers
s657,p657,Design of a clinical decision support system for fracture prediction using imbalanced dataset
s658,p658,Water main criticality scoring and GIS centric risk mitigation: Applying GIS spatial analysis tools and apps for greater insight for high risk underground infrastructure
s659,p659,"Alluvial and fluvial fans on Saturn's moon Titan reveal processes, materials and regional geology"
s660,p660,Alternative diffusion anisotropy measures for the investigation of white matter alterations in 22q11 2 deletion syndrome
s661,p661,Informing the use of hyperparameter optimization through metalearning
s662,p662,Deep visual gravity vector detection for unmanned aircraft attitude estimation
s663,p663,New Vapor-Pressure Prediction with Improved Thermodynamic Consistency using the Riedel Equation
s664,p664,Bias estimation for angle-only sensors in distributed multi-target tracking systems
s665,p665,Sidelobe Level and Aperture Efficiency Optimization for Tiled Aperiodic Array Antennas
s666,p666,Nano-Composite Foam Sensor System in Football Helmets
s667,p667,Effects of Laryngeal Activity on Articulation
s668,p668,Discovering the building blocks of atomic systems using machine learning: Application to grain boundaries
s669,p669,A Comparison of Indoor MIMO Measurements and Ray-Tracing at 24 and 2 55 GHz
s670,p670,Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks
s671,p671,Water supply damage caused by the 2016 Kumamoto Earthquake
s672,p672,Plain-Style Preferences of US Professionals
s673,p673,Analysis of the external radiation from circular cylindrical shells
s674,p674,Antenna Loss and Receiving Efficiency for Mutually Coupled Arrays
s675,p675,Continuous permeability measurement during unidirectional vacuum infusion processing
s676,p676,"High-Precision, Mixed-Signal Mismatch Measurement of Metal-Oxide-Metal Capacitors"
s677,p677,A 3D isogeometric BE–FE analysis with dynamic remeshing for the simulation of a deformable particle in shear flows
s678,p678,High-Speed Interrogation of Multiplexed Fiber Bragg Gratings with Spectral Distortion
s679,p679,Layering Security at Global Control Points to Secure Unmodified Software
s680,p680,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
s681,p681,Dynamic grouping of cooperating vehicles using a receding horizon controller for ground target search and track missions
s682,p682,Applying a passive network reconstruction technique to Twitter data in order to identify trend setters
s683,p683,Selective Laser Melting aluminum waveguide attenuation at K-band
s684,p684,Use of Personality Profile Assessments in the U S  Commercial Construction Industry
s685,p685,Simulations in Construction and Engineering Management Education to Explore Professional Challenges
s686,p686,A comparison of model predictive control and PID temperature control in friction stir welding
s687,p687,Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors
s688,p688,Review of research on student-facing learning analytics dashboards and educational recommender systems
s689,p689,Design for excess capability to handle uncertain product requirements in a developing world setting
s690,p690,Mitigated FPGA design of multi-gigabit transceivers for application in high radiation environments of High Energy Physics experiments
s691,p691,An ultra-high Q inductorless narrowband filter based on the voltage divider phase shift method
s692,p692,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
s693,p693,Custom 3D printer and resin for 18 μm × 20 μm microfluidic flow channels
s694,p694,Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking
s695,p695,"The need, development, and validation of the innovation test instrument"
s696,p696,A Review of the Capabilities of Current Low-Cost Virtual Reality Technology and Its Potential to Enhance the Design Process
s697,p697,Inferring ascending auction participation from observed bidders
s698,p698,Differential effects of air conditioning type on residential endotoxin levels in a semi-arid climate
s699,p699,Inverted L-arm gripper compliant mechanism
s700,p700,A multi-user computer-aided design competition: Experimental findings and analysis of team-member dynamics
s701,p701,Diagnostic and prognostic value of delayed Gadolinium Enhanced Magnetic Resonance Imaging of Cartilage (dGEMRIC) in early osteoarthritis of the hip
s702,p702,"The human touch: How non-expert users perceive, interpret, and fix topic models"
s703,p703,Shear joy of watching paint dry
s704,p704,Bad news first: How optimal directness depends on what is negated
s705,p705,Non-perturbing voltage measurement in a coaxial cable with slab-coupled optical sensors
s706,p706,Optofluidic lab-on-a-chip fluorescence sensor using integrated buried ARROW (bARROW) waveguides
s707,p707,Toward quantitative characterization of essential tremor for future tremor suppression
s708,p708,Water entry of deformable spheres
s709,p709,Generating derivative superstructures for systems with high configurational freedom
s710,p710,Improved Antenna Efficiency Measurement Uncertainty in a Reverberation Chamber at Millimeter-Wave Frequencies
s711,p711,Space-Time Coding for Aeronautical Telemetry: Part i - Estimators
s712,p712,Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
s713,p713,Process responses and resultant joint properties of friction stir welding of dissimilar 5083 and 6061aluminum alloys
s714,p714,The AFLOW Library of Crystallographic Prototypes: Part 1
s715,p715,Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts
s716,p716,Counter UAS using a formation controlled dragnet
s717,p717,Variable stiffness adaptation to mitigate system failure in inflatable robots
s718,p718,"Multi-objective design optimization of a soft, pneumatic robot"
s719,p719,Motion planning for mobile robots using inverse kinematics branching
s720,p720,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
s721,p721,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs"
s722,p722,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs
s723,p723,A Systems Engineering Approach to Harnessing Human Energy in Public Places: A Feasibility Study
s724,p724,Modeling global and local codon bias with deep language models
s725,p725,Carbon monolith scaffolding for high volumetric capacity silicon Li-ion battery anodes
s726,p726,Strategies employed and lessons learned by commercial construction companies during economic recession and recovery
s727,p727,Whole genome phylogenetic tree reconstruction using colored de bruijn graphs
s728,p728,Genome polymorphism detection through relaxed de bruijn graph construction
s729,p729,Cooperation induction in two player bertand markets with linear demand
s730,p730,Student perceptions and attitudes towards a required vs  An optional course in leadership
s731,p731,Technology and design programs
s732,p732,Experiential learning: Using small-scale projects to teach project complexities and relationship roles in construction
s733,p733,Cross platform usability: Evaluating computing tasks performed on multiple platforms
s734,p734,Sustainable water filters in southern Peru
s735,p735,Global humanitarian-based projects: A documentation strategy for strengthening project sustainability
s736,p736,Project-based learning curriculum for the junior year based on building a laser tag system
s737,p737,A model workshop for helping new faculty engage students in the STEM Classroom
s738,p738,Investigating engineering students' understandings of social and ethical responsibility: Coding framework and initial findings
s739,p739,Analytical fragility curves for non-skewed highway bridges in Chile
s740,p740,Optical electric field sensor sensitivity direction rerouting and enhancement using a passive integrated dipole antenna
s741,p741,Associative CAD references in the neutral parametric canonical form
s742,p742,Design of low-power ultra-high voltage gain differential cascode stages
s743,p743,Village Drill: A Case Study in Engineering for Global Development with Five Years of Data Post Market-Introduction
s744,p744,Simulation-based coefficients for adjusting climate impact on energy consumption of commercial buildings
s745,p745,"Hierarchically refined and coarsened splines for moving interface problems, with particular application to phase-field models of prostate tumor growth"
s746,p746,Enabling Dissimilar Material Joining Using Friction Stir Scribe Technology
s747,p747,Simulation and exploration of high-density unmanned aerial vehicle systems
s748,p748,An RVE procedure for micromechanical prediction of mechanical behavior of dual-phase steel
s749,p749,Mitigating Water Absorption in Waveguides Made from Unannealed PECVD SiO2
